,canonicalUrl,description,image,name,price,rating.averageRating,rating.numberOfReviews
22,/ip/Hisense-43-Class-2K-FHD-LED-Roku-Smart-TV-H4030F-Series-43H4030F1/781406220,Hisense 43 Inch Roku,https://i5.walmartimages.com/asr/f6753c8d-8704-4cc8-aa96-4381877ee3f6.80b291996762a7e8907c1c5ee33c9177.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"Hisense 43"" Class 2K FHD LED Roku Smart TV H4030F Series 43H4030F1",198.0,4.0,910.0
23,/ip/onn-43-Class-4K-UHD-2160P-LED-Roku-Smart-TV-HDR-100012584/428114216,"<li>onn. 43 Class 4K UHD (2160P) LED Roku Smart TV HDR (100012584): Roku streaming, crisp 4K (2160p) resolution, 60 Hz refresh rate, DLED display</li>",https://i5.walmartimages.com/asr/d95d2f87-b035-42c8-8cb8-f8835a7421b4.ffa4f94a846271c0243d8ff26951af60.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,onn. 43 Class 4K UHD (2160P) LED Roku Smart TV HDR (100012584),198.0,4.2,1728.0
24,/ip/onn-39-Class-HD-720P-LED-Roku-Smart-TV-100074926/902416070,"<li>onn. 39 Class HD (720P) LED Roku Smart TV (100074926): Roku streaming, crisp 720p resolution, 60 Hz refresh rate, DLED display</li>",https://i5.walmartimages.com/asr/73434900-2db5-4b90-bed8-9ae3a13bccc7.097a3fe1afa082a4b2e856bea59113d4.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,onn. 39 Class HD (720P) LED Roku Smart TV (100074926),198.0,4.3,1215.0
25,/ip/TCL-43-Class-4-Series-4K-UHD-HDR-Roku-Smart-TV-43S431/550751313,"43"" Tcl 4k 4-series Roku Smart Tv 43s4",https://i5.walmartimages.com/asr/0ee92b6d-763e-491f-9d34-10f512896f57.7049fd005dfe63effd33524ef034e5d1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"TCL 43"" Class 4-Series 4K UHD HDR Roku Smart TV - 43S431",218.0,4.1,6707.0
26,/ip/RCA-40-Class-FHD-1080P-Roku-LED-Smart-TV-RTR4060-W/962639379,"<li>Diagonal Screen Size: 40""</li><li>Refresh Rate: 60Hz</li><li>Backlight Type: LED</li><li>Smart Functionality: Roku</li>",https://i5.walmartimages.com/asr/48a8bd5c-d94d-46d2-a569-945073a66de8.7bb224a96a7869562f5965e1cb0c7078.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"RCA 40"" Class FHD 1080P Roku LED Smart TV (RTR4060-W)",218.0,4.2,1061.0
27,/ip/TCL-40-Class-1080P-FHD-LED-Roku-Smart-TV-3-Series-40S325/991538696,"Diagonal Screen Size: 39.5"" 1080p Smart LED-LCD HDTVRoku Streaming IncludedDual-Band Wi-Fi & Ethernet PortWorks with Alexa and Google Assistant",https://i5.walmartimages.com/asr/13619f68-218a-4176-8175-2d1f40d0a2ac_2.d3465357ea0279affba57f6143bcfbf2.png?odnHeight=180&odnWidth=180&odnBg=ffffff,"TCL 40"" Class 1080P FHD LED Roku Smart TV 3 Series 40S325",218.0,4.4,384.0
28,/ip/VIZIO-43-Class-D-Series-FHD-LED-Smart-TV-D43f-J04/940656766,<li>1080p High Definition</li><li>Full Array LED Backlight</li><li>IQ Picture Processor</li>,https://i5.walmartimages.com/asr/54db6908-8791-443e-93ac-379e545ea0d6.5933790a540dc3bb19eca9aa5da9805d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"VIZIO 43"" Class D-Series FHD LED Smart TV D43f-J04",224.0,4.2,5297.0
29,/ip/SAMSUNG-32-Class-FHD-1080P-Smart-LED-TV-UN32N5300/172813797,"<li>Diagonal Screen Size: 31.5""</li><li>Resolution: 1080P</li><li>Refresh Rate: 60Hz</li><li>Back light: LED</li><li>Smart Functionality: yes</li><li>Inputs (HDMI/USB): yes, (2/1)</li><li>Model Year:</li>",https://i5.walmartimages.com/asr/2b2943fd-73d6-4d7b-9c54-e22db0c660f1_4.e79d68ec3a718064170de6cbd82e6030.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"SAMSUNG 32"" Class FHD (1080P) Smart LED TV (UN32N5300)",225.7,4.4,950.0
30,/ip/Sceptre-50-Class-4K-UHD-LED-TV-U515CV-U/44829924,"<li>Diagonal screen size: 49.5""</li><li>Refresh rate: 60Hz</li><li>Backlight: LED</li><li>Smart Functionality: no</li><li>Inputs (HDMI/USB): 3/1</li>",https://i5.walmartimages.com/asr/fff3369d-8a5c-44df-b44c-d00a344bf587.03ac4fb1f0ad63f4a5dedf30d38aa912.png?odnHeight=180&odnWidth=180&odnBg=ffffff,"Sceptre 50"" Class 4K UHD LED TV U515CV-U",228.0,4.0,5098.0
31,/ip/onn-50-Class-4K-UHD-2160P-LED-Roku-Smart-TV-HDR-100012585/300694285,"<li>onn. 50 Class 4K UHD (2160P) LED Roku Smart TV HDR (100012585): Roku streaming, crisp 4K (2160p) resolution, 60 Hz refresh rate, DLED display</li>",https://i5.walmartimages.com/asr/8f74a8cf-c2cc-4c19-aa5f-9325ef3b7c98.68eaaf735b95ff2f59db481a20bdb8af.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,onn. 50 Class 4K UHD (2160P) LED Roku Smart TV HDR (100012585),238.0,4.2,3093.0
